,motif,score,task
225,ETS,0.023099578917,"K562, real motif"
226,ETS,0.0240899212658,"K562, real motif"
227,ETS,0.0212172567844,"K562, real motif"
228,ETS,0.0222012866288,"K562, real motif"
229,ETS,0.0199066158384,"K562, real motif"
230,ETS,0.0222581960261,"K562, real motif"
231,ETS,0.0175962932408,"K562, real motif"
232,ETS,0.0190078057349,"K562, real motif"
233,ETS,0.0196984764189,"K562, real motif"
234,ETS,0.0213303100318,"K562, real motif"
235,ETS,0.0187418088317,"K562, real motif"
236,ETS,0.0135520556942,"K562, real motif"
237,ETS,0.0198733508587,"K562, real motif"
238,ETS,0.0165339242667,"K562, real motif"
239,ETS,0.0237764436752,"K562, real motif"
240,ETS,0.0175476092845,"K562, real motif"
241,ETS,0.0205917730927,"K562, real motif"
242,ETS,0.0190062541515,"K562, real motif"
243,ETS,0.0237217675894,"K562, real motif"
244,ETS,0.021974561736,"K562, real motif"
245,ETS,0.0251799244434,"K562, real motif"
246,ETS,0.0234732385725,"K562, real motif"
247,ETS,0.0250404961407,"K562, real motif"
248,ETS,0.0217429567128,"K562, real motif"
249,ETS,0.0198850873858,"K562, real motif"
250,ETS,0.0218542441726,"K562, real motif"
251,ETS,0.022708889097,"K562, real motif"
252,ETS,0.0214019361883,"K562, real motif"
253,ETS,0.0160601958632,"K562, real motif"
254,ETS,0.0242766384035,"K562, real motif"
255,ETS,0.0197808668017,"K562, real motif"
256,ETS,-0.00011153286323,"K562, real motif"
257,ETS,0.000191485334653,"K562, real motif"
258,ETS,0.000448141421657,"K562, real motif"
259,ETS,0.00138552905992,"K562, real motif"
260,ETS,0.00263047683984,"K562, real motif"
261,ETS,0.00126702489797,"K562, real motif"
262,ETS,0.00213304441422,"K562, real motif"
263,ETS,0.00103731709532,"K562, real motif"
264,ETS,0.000801369547844,"K562, real motif"
265,ETS,0.00316361314617,"K562, real motif"
266,ETS,0.0034866721835,"K562, real motif"
267,ETS,0.00470980023965,"K562, real motif"
268,ETS,0.00545227108523,"K562, real motif"
269,ETS,0.0054749622941,"K562, real motif"
270,ETS,0.00675813155249,"K562, real motif"
271,ETS,0.00768510857597,"K562, real motif"
272,ETS,0.00285571464337,"K562, real motif"
273,ETS,0.00674555916339,"K562, real motif"
274,ETS,0.00427982537076,"K562, real motif"
275,ETS,0.00363181438297,"K562, real motif"
276,ETS,0.00345760351047,"K562, real motif"
277,ETS,0.00777262030169,"K562, real motif"
278,ETS,0.00787949655205,"K562, real motif"
279,ETS,0.00845249649137,"K562, real motif"
280,ETS,0.00598595477641,"K562, real motif"
281,ETS,0.00475863879547,"K562, real motif"
282,ETS,0.00853082444519,"K562, real motif"
283,ETS,0.00741912145168,"K562, real motif"
284,ETS,0.0050071333535,"K562, real motif"
285,ETS,0.00643343199044,"K562, real motif"
286,ETS,0.00467900047079,"K562, real motif"
287,ETS,0.00861703138798,"K562, real motif"
288,ETS,0.0110292108729,"K562, real motif"
289,ETS,0.00925218500197,"K562, real motif"
290,ETS,0.00846863910556,"K562, real motif"
291,ETS,0.00600918987766,"K562, real motif"
292,ETS,0.00786660425365,"K562, real motif"
293,ETS,0.0104953283444,"K562, real motif"
294,ETS,0.0150373661891,"K562, real motif"
295,ETS,0.0141260083765,"K562, real motif"
296,ETS,0.0149117652327,"K562, real motif"
297,ETS,0.0159376040101,"K562, real motif"
298,ETS,0.0153397563845,"K562, real motif"
299,ETS,0.0185330472887,"K562, real motif"
300,ETS,0.0180959291756,"K562, real motif"
301,ETS,0.0216636639088,"K562, real motif"
302,ETS,0.020360795781,"K562, real motif"
303,ETS,0.0220378823578,"K562, real motif"
304,ETS,0.0118728363886,"K562, real motif"
305,ETS,0.0180831421167,"K562, real motif"
306,ETS,0.0175028461963,"K562, real motif"
307,ETS,0.0142989670858,"K562, real motif"
308,ETS,0.0151706477627,"K562, real motif"
309,ETS,0.018540725112,"K562, real motif"
310,ETS,0.0164268650115,"K562, real motif"
311,ETS,0.0132474005222,"K562, real motif"
312,ETS,0.0136287026107,"K562, real motif"
313,ETS,0.00941246561706,"K562, real motif"
314,ETS,0.013551056385,"K562, real motif"
315,ETS,0.0115244025365,"K562, real motif"
316,ETS,0.0110921328887,"K562, real motif"
317,ETS,0.0140975331888,"K562, real motif"
318,ETS,0.0134164961055,"K562, real motif"
319,ETS,0.0017115190858,"K562, real motif"
320,ETS,-0.0022970973514,"K562, real motif"
321,ETS,-0.000556913786568,"K562, real motif"
322,ETS,-0.000696409842931,"K562, real motif"
323,ETS,0.000277917453786,"K562, real motif"
324,ETS,0.00134419999085,"K562, real motif"
325,ETS,0.000316010788083,"K562, real motif"
326,ETS,0.002681723563,"K562, real motif"
327,ETS,0.00083592091687,"K562, real motif"
328,ETS,0.000901220890228,"K562, real motif"
329,ETS,0.00351171637885,"K562, real motif"
330,ETS,0.00281806313433,"K562, real motif"
331,ETS,0.00258786580525,"K562, real motif"
332,ETS,0.00270875380374,"K562, real motif"
333,ETS,0.0023707433138,"K562, real motif"
334,ETS,0.00124277034774,"K562, real motif"
335,ETS,0.00471839215606,"K562, real motif"
336,ETS,6.55707408441e-05,"K562, real motif"
337,ETS,0.00368566345423,"K562, real motif"
338,ETS,0.0113850869238,"K562, real motif"
339,ETS,0.0176102053374,"K562, real motif"
340,ETS,0.0133499214426,"K562, real motif"
341,ETS,0.0128543432802,"K562, real motif"
342,ETS,0.00824088323861,"K562, real motif"
343,ETS,0.0123573401943,"K562, real motif"
344,ETS,0.0113521553576,"K562, real motif"
345,ETS,0.0117005417123,"K562, real motif"
346,ETS,0.0177717078477,"K562, real motif"
347,ETS,0.0162597037852,"K562, real motif"
348,ETS,0.015011860989,"K562, real motif"
349,ETS,0.0175921786577,"K562, real motif"
350,ETS,0.0186477471143,"K562, real motif"
351,ETS,0.0202501341701,"K562, real motif"
352,ETS,0.016881685704,"K562, real motif"
353,ETS,0.0144692715257,"K562, real motif"
354,ETS,0.0175379719585,"K562, real motif"
355,ETS,0.0194942075759,"K562, real motif"
356,ETS,0.0175010301173,"K562, real motif"
357,ETS,0.0183256007731,"K562, real motif"
358,ETS,0.021044941619,"K562, real motif"
359,ETS,0.0178317241371,"K562, real motif"
360,ETS,0.0193627513945,"K562, real motif"
361,ETS,0.0193354152143,"K562, real motif"
362,ETS,0.0141962533817,"K562, real motif"
363,ETS,0.0169533155859,"K562, real motif"
364,ETS,0.0211029220372,"K562, real motif"
365,ETS,0.0204957555979,"K562, real motif"
366,ETS,0.0227866992354,"K562, real motif"
367,ETS,0.0210698023438,"K562, real motif"
368,ETS,0.0246466379613,"K562, real motif"
369,ETS,0.0186810083687,"K562, real motif"
370,ETS,0.0231867451221,"K562, real motif"
371,ETS,0.0214945301414,"K562, real motif"
372,ETS,0.0234603565186,"K562, real motif"
373,ETS,0.0268086064607,"K562, real motif"
374,ETS,0.0273035708815,"K562, real motif"
375,ETS,0.023129420355,"K562, real motif"
376,ETS,0.027980722487,"K562, real motif"
377,ETS,0.0229660253972,"K562, real motif"
378,ETS,0.0264553539455,"K562, real motif"
379,ETS,0.0257156677544,"K562, real motif"
380,ETS,0.00303783849813,"K562, real motif"
381,ETS,-0.00144355779048,"K562, real motif"
382,ETS,-0.00199678028002,"K562, real motif"
383,ETS,0.000239155109739,"K562, real motif"
384,ETS,-0.000433194538346,"K562, real motif"
385,ETS,0.00145425205119,"K562, real motif"
386,ETS,0.00149816344492,"K562, real motif"
387,ETS,0.0012153115822,"K562, real motif"
